Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
NAO;2532,34;THE.HUNGER.GAMES.THE.BALLAD.OF.SONGBIRDS.AND.SNAKES.1080p.WEB.DL-MassModz.mkv;THE.HUNGER.GAMES.THE.BALLAD.OF.SONGBIRDS.AND.SNAKES.1080p.H265.mkv;THE.HUNGER.GAMES.THE.BALLAD.OF.SONGBIRDS.AND.SNAKES.1080p.WEB.DL-MassModz;/mnt/Media/filmes/THE.HUNGER.GAMES.THE.BALLAD.OF.SONGBIRDS.AND.SNAKES.1080p.WEB.DL-MassModz/THE.HUNGER.GAMES.THE.BALLAD.OF.SONGBIRDS.AND.SNAKES.1080p.WEB.DL-MassModz.mkv
NAO;2531,42;Stargate.1994.EXTENDED.1080p.BluRay.H264.AAC-RARBG.mkv;Stargate.1994.1080p.H265.mkv;Stargate.1994.EXTENDED.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/OLD/Stargate.1994.EXTENDED.1080p.BluRay.H264.AAC-RARBG/Stargate.1994.EXTENDED.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2522,49;The.Girl.Who.Played.with.Fire.2009.SWEDISH.1080p.BluRay.H264.AAC-VXT.mkv;The.Girl.Who.Played.with.Fire.2009.1080p.H265.mkv;The.Girl.Who.Played.with.Fire.2009.SWEDISH.1080p.BluRay.H264.AAC-VXT;/mnt/Media/filmes/Franquias/The_Girl_With_The_Dragon_Tatoo/The.Girl.Who.Played.with.Fire.2009.SWEDISH.1080p.BluRay.H264.AAC-VXT/The.Girl.Who.Played.with.Fire.2009.SWEDISH.1080p.BluRay.H264.AAC-VXT.mkv
NAO;2520,19;The.Matrix.Revolutions.2003.REMASTERED.1080p.BluRay.H264.AAC-RARBG.mkv;The.Matrix.Revolutions.2003.1080p.H265.mkv;The.Matrix.Revolutions.2003.REMASTERED.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/Matrix/The.Matrix.Revolutions.2003.REMASTERED.1080p.BluRay.H264.AAC-RARBG/The.Matrix.Revolutions.2003.REMASTERED.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2507,10;Live.Free.Or.Die.Hard.2007.1080p.BluRay.H264.AAC-RARBG.mkv;Live.Free.Or.Die.Hard.2007.1080p.H265.mkv;Live.Free.Or.Die.Hard.2007.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/DieHard/Live.Free.Or.Die.Hard.2007.1080p.BluRay.H264.AAC-RARBG/Live.Free.Or.Die.Hard.2007.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2498,49;The.Accountant.2016.1080p.BluRay.H264.AAC-RARBG.mp4;The.Accountant.2016.1080p.H265.mp4;The.Accountant.2016.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/2016/The.Accountant.2016.1080p.BluRay.H264.AAC-RARBG/The.Accountant.2016.1080p.BluRay.H264.AAC-RARBG.mp4
NAO;2486,72;Jupiter.Ascending.2015.1080p.BluRay.H264.AAC-RARBG.mkv;Jupiter.Ascending.2015.1080p.H265.mkv;Jupiter.Ascending.2015.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Jupiter.Ascending.2015.1080p.BluRay.H264.AAC-RARBG/Jupiter.Ascending.2015.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2483,48;Star.Wars.Episode.V.The.Empire.Strikes.Back.1980.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv;Star.Wars.Episode.V.The.Empire.Strikes.Back.1980.1080p.H265.mkv;Star.Wars.Episode.V.The.Empire.Strikes.Back.1980.PROPER.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/StarWars/Star.Wars.Episode.V.The.Empire.Strikes.Back.1980.PROPER.1080p.BluRay.H264.AAC-RARBG/Star.Wars.Episode.V.The.Empire.Strikes.Back.1980.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2475,04;Die.Hard.2.1990.1080p.BluRay.H264.AAC-RARBG.mkv;Die.Hard.2.1990.1080p.H265.mkv;Die.Hard.2.1990.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/DieHard/Die.Hard.2.1990.1080p.BluRay.H264.AAC-RARBG/Die.Hard.2.1990.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2469,34;Doctor.Strange.in.the.Multiverse.of.Madness.2022.1080p.WEBRip.x264-RARBG.mp4;Doctor.Strange.in.the.Multiverse.of.Madness.2022.1080p.H265.mp4;Doctor.Strange.in.the.Multiverse.of.Madness.2022.1080p.WEBRip.x264-RARBG;/mnt/Media/filmes/Franquias/Marvel-DC/Doctor.Strange.in.the.Multiverse.of.Madness.2022.1080p.WEBRip.x264-RARBG/Doctor.Strange.in.the.Multiverse.of.Madness.2022.1080p.WEBRip.x264-RARBG.mp4
