Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
NAO;2367,79;The.Mandalorian.S01E03.1080p.WEB.H264-PETRiFiED.mkv;The.Mandalorian.S01E03.1080p.H265.mkv;The.Mandalorian.S01E03.1080p.WEBRiP.x264-PETRiFiED[rartv];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E03.1080p.WEBRiP.x264-PETRiFiED[rartv]\The.Mandalorian.S01E03.1080p.WEB.H264-PETRiFiED.mkv
NAO;2364,54;Obi-Wan.Kenobi.S01E06.1080p.WEB.h264-KOGi.mkv;Obi-Wan.Kenobi.S01E06.1080p.H265.mkv;Obi-Wan.Kenobi.S01E06.1080p.WEB.h264-KOGi[rarbg];\\192.168.0.99\Media\series\Obi-Wan.Kenobi.S01\Obi-Wan.Kenobi.S01E06.1080p.WEB.h264-KOGi[rarbg]\Obi-Wan.Kenobi.S01E06.1080p.WEB.h264-KOGi.mkv
NAO;2350,94;obi-wan.kenobi.s01e03.1080p.web.h264-poke.mkv;obi-wan.kenobi.S01E03.1080p.H265.mkv;Obi-Wan.Kenobi.S01;\\192.168.0.99\Media\series\Obi-Wan.Kenobi.S01\obi-wan.kenobi.s01e03.1080p.web.h264-poke.mkv
NAO;2342,82;The.Mandalorian.S03E07.1080p.web.h264-poke.mkv;The.Mandalorian.S03E07.1080p.H265.mkv;The.Mandalorian.S03;\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S03\The.Mandalorian.S03E07.1080p.web.h264-poke.mkv
NAO;2323,63;The.Mandalorian.S03E03.1080p.web.h264-ggez.mkv;The.Mandalorian.S03E03.1080p.H265.mkv;The.Mandalorian.S03;\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S03\The.Mandalorian.S03E03.1080p.web.h264-ggez.mkv
NAO;2309,21;andor.s01e08.1080p.web.h264-ggez.mkv;andor.S01E08.1080p.H265.mkv;Andor.S01E08.1080p.WEB.H264-GGEZ[rarbg];\\192.168.0.99\Media\series\Andor\Andor.S01E08.1080p.WEB.H264-GGEZ[rarbg]\andor.s01e08.1080p.web.h264-ggez.mkv
NAO;2304,77;Avatar.The.Last.Airbender.S01E07.The.North.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN.mkv;Avatar.The.Last.Airbender.S01E07.1080p.H265.mkv;Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx];\\192.168.0.99\Media\series\Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx]\Avatar.The.Last.Airbender.S01E07.The.North.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN.mkv
NAO;2294,85;Yumi's.Cells.S01E07.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Yumi_s.Cells.S01E07.1080p.H265.mp4;Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Yumis.Cells\Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Yumi's.Cells.S01E07.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2240,01;Yumi's.Cells.S01E11.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Yumi_s.Cells.S01E11.1080p.H265.mp4;Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Yumis.Cells\Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Yumi's.Cells.S01E11.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2223,45;Cleaning.Up.S01E01.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Cleaning.Up.S01E01.1080p.H265.mp4;Cleaning.Up.S01E01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Cleaning.Up.S01\Cleaning.Up.S01E01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Cleaning.Up.S01E01.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2216,66;Yumi's.Cells.S01E12.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Yumi_s.Cells.S01E12.1080p.H265.mp4;Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Yumis.Cells\Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Yumi's.Cells.S01E12.1080p.WEB-DL.H264.AAC-AppleTor.mp4
