Raiz;Categoria (Nível 1);Subpasta (Nível 2);Subpasta (Nível 3);Subpasta (Nível 4);Caminho Completo;Oportunidade (GB);Pendentes;Total de Arquivos
\\192.168.0.99\Media\;Anime-Cartoon;Kimetsu.no.Yaiba;S01;;\\192.168.0.99\Media\Anime-Cartoon\Kimetsu.no.Yaiba\S01;12,62;26;26
\\192.168.0.99\Media\;Anime-Cartoon;LegendoftheGalacticHeroes-GingaEiyuuDensetsu;Legend of Galactic Heroes-Ginga Eiyuu Densetsu;;\\192.168.0.99\Media\Anime-Cartoon\LegendoftheGalacticHeroes-GingaEiyuuDensetsu\Legend of Galactic Heroes-Ginga Eiyuu Densetsu;12,52;110;110
\\192.168.0.99\Media\;Anime-Cartoon;Kimetsu.no.Yaiba;[Erai-raws] Kimetsu no Yaiba - 01 ~ 26 [720p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Kimetsu.no.Yaiba\[Erai-raws] Kimetsu no Yaiba - 01 ~ 26 [720p][Multiple Subtitle];12,28;26;26
\\192.168.0.99\Media\;Anime-Cartoon;Kamisama Hajimemashita;;;\\192.168.0.99\Media\Anime-Cartoon\Kamisama Hajimemashita;11,78;14;14
\\192.168.0.99\Media\;filmes;OLD;Rain.Fall.2009.JAPANESE.1080p.BluRay.x264.DD5.1-VHD;;\\192.168.0.99\Media\filmes\OLD\Rain.Fall.2009.JAPANESE.1080p.BluRay.x264.DD5.1-VHD;11,75;1;1
\\192.168.0.99\Media\;Anime-Cartoon;Akebi-chan no Sailor Fuku;;;\\192.168.0.99\Media\Anime-Cartoon\Akebi-chan no Sailor Fuku;11,56;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Watashi no Shiawase na Kekkon;;;\\192.168.0.99\Media\Anime-Cartoon\Watashi no Shiawase na Kekkon;11,54;10;10
\\192.168.0.99\Media\;Anime-Cartoon;Sora yori mo Tooi Basho - 01 ~ 13 [1080p][Multiple Subtitle];;;\\192.168.0.99\Media\Anime-Cartoon\Sora yori mo Tooi Basho - 01 ~ 13 [1080p][Multiple Subtitle];11,18;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Made in Abyss - 01~13 [1080p AVC-YUV444P10][E-AC3];;;\\192.168.0.99\Media\Anime-Cartoon\Made in Abyss - 01~13 [1080p AVC-YUV444P10][E-AC3];11,15;13;13
\\192.168.0.99\Media\;filmes;2023;;;\\192.168.0.99\Media\filmes\2023;11,04;6;8
\\192.168.0.99\Media\;Anime-Cartoon;Komi-san;[Erai-raws] Komi-san wa Komyushou Desu 2nd Season - 01 ~ 12 (REPACK) [1080p NF WEB-DL AVC AAC][MultiSub];;\\192.168.0.99\Media\Anime-Cartoon\Komi-san\[Erai-raws] Komi-san wa Komyushou Desu 2nd Season - 01 ~ 12 (REPACK) [1080p NF WEB-DL AVC AAC][MultiSub];10,77;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Komi-san;[Erai-raws] Komi-san wa Komyushou Desu - 01 ~ 12 (REPACK) [1080p NF WEB-DL AVC AAC][MultiSub];;\\192.168.0.99\Media\Anime-Cartoon\Komi-san\[Erai-raws] Komi-san wa Komyushou Desu - 01 ~ 12 (REPACK) [1080p NF WEB-DL AVC AAC][MultiSub];10,75;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Golden Kamuy;[Erai-raws] Golden Kamuy 2nd Season - 01 ~ 12 [1080p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Golden Kamuy\[Erai-raws] Golden Kamuy 2nd Season - 01 ~ 12 [1080p][Multiple Subtitle];10,68;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Golden Kamuy;[Erai-raws] Golden Kamuy - 01 ~ 12 [1080p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Golden Kamuy\[Erai-raws] Golden Kamuy - 01 ~ 12 [1080p][Multiple Subtitle];10,68;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Miraculous.Tales.of.Ladybug.and.Cat.Noir;S03;;\\192.168.0.99\Media\Anime-Cartoon\Miraculous.Tales.of.Ladybug.and.Cat.Noir\S03;10,66;31;31
